setup,strategy,ticker,date_from,date_to,final_value,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_commission
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100000.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,99834.95,-0.001650,-0.067025,0.090944,-0.936576,-0.921310,1.206540,18.155000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100323.87,0.003239,0.145460,0.088649,1.692404,1.859156,1.020007,31.155000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,99997.87,-0.000021,-0.000894,0.095041,-0.271444,-0.279938,1.207540,16.110000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100487.79,0.004878,0.226755,0.088514,1.695666,1.862948,1.018345,28.110000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100020.74,0.000207,0.008746,0.124363,-0.111584,-0.115863,1.559955,22.595000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,101052.98,0.010530,0.552611,0.127747,2.723911,3.341658,1.316555,38.595000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,100048.98,0.000490,0.020777,0.124670,-0.033538,-0.030815,1.558955,13.155000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,101137.90,0.011379,0.608364,0.129128,2.851664,3.536308,1.316183,28.155000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,99950.40,-0.000496,-0.020621,0.112522,-0.363587,-0.372992,1.430593,15.150000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100795.88,0.007959,0.395073,0.112455,2.489289,2.926083,1.208606,37.150000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,99731.68,-0.002683,-0.106714,0.117531,-1.014712,-0.978450,1.584525,14.125000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,100205.30,0.002053,0.089958,0.111980,1.313562,1.401734,1.326377,38.125000
gmats_local,GMATSLLMStrategy,AAPL,2021-10-01,2021-10-08,99408.22,-0.005918,-0.220643,0.088112,-2.717229,-2.414791,1.285651,35.250000
gmats_local,GMATSLLMStrategy,MSFT,2021-10-01,2021-10-08,99521.68,-0.004783,-0.182395,0.019180,0.623076,0.522209,0.205881,47.250000
